member_id,gender,status,mem_duration
7Q4IWMC7DE,F,C,10
IZO8chWgJZ,M,C,6
VKwFA5VINu,F,C,15
EfDYcr3Pn8,F,C,13
lW1u20Myap,M,C,10
v1T1RAMd36,M,C,10
toJFu28sf0,M,C,10
RNtrnzOHUO,M,C,10
Gs8wpVXt3p,M,C,10
xr5EpkI2dq,M,C,5
P759bIGi2G,F,C,14
8lTu0TZ2M6,M,C,12
hB3B26UQT7,F,C,5
bqbY46eQcB,F,C,10
sYlf8Dne6z,M,C,11
tYPYyTr89z,F,C,17
2oj1Ov72pc,F,C,8
YeceEPfoVK,M,C,8
0AVqV1ityW,M,C,10
MBpJNHv5sw,F,C,7
JQfMcoVClf,M,C,5
XQ60BytVSB,M,C,9
aWZgNnEBrH,M,C,10
zDwAOxkKA0,M,C,10
NhjkZwGsW9,M,C,5
MGRLWqm1Cc,M,C,11
P0x3UibAEN,M,C,8
Dc5gIHW8Ho,M,C,9
L4W15JEnFa,F,C,12
ei9PZr7H7M,F,C,15
kWasgXaK6D,M,C,7
MyJ8gogTwl,F,C,9
7jTjc34c34,M,C,6
bvLHBIz7d1,F,C,15
5sg9cN4mwq,M,C,10
QVtIGwKXiL,M,C,11
D4BtCDknv3,M,C,8
TyifUUH9HT,F,C,5
GxeKWpEt4X,F,C,6
FPm64Rdp5g,F,C,9
iMmyNEii3z,M,C,7
yE6EOKHqyR,F,C,10
JkgzDIduzZ,M,C,6
ITycd7FHZO,F,C,5
xYJw00PdNT,F,C,10
qrzRSdJmUD,F,C,9
Wx9DefaPaP,M,C,15
2nXCHYz6ZA,F,C,8
pV78tSqrht,M,C,8
n4FDptev2J,M,C,6
D0mG27vNsE,F,C,7
a2dGpEpD1c,F,C,11
Xg7zGNnEQw,M,C,9
36epjAxP48,M,C,16
4CBRbN4UMe,M,C,10
7ZHBq9k3CF,M,C,14
lbEl8XtFtl,M,C,10
TDPmdn1ABZ,F,C,4
u1xL6CrOa4,F,C,7
y5BySPx46J,M,C,6
u8fyrBWmlN,F,C,5
ib4nzcOG4Y,M,C,8
caSAr6IfwB,M,C,10
CLOdls5D1i,F,C,9
RcJBt2PKja,F,C,9
npewTuqjIO,M,C,9
JAdszGKU5M,F,C,18
