member_id,gender,status,mem_duration
PeX4Paz7cT,F,C,12
aQapUmJ4Qc,F,Q,5
EpN4Rjgh6w,M,Q,9
1EuJPhnksh,M,C,9
IZDlJLyBk9,F,C,9
9m5dKNnnWZ,M,C,13
cPNHaOeFQQ,M,Q,1
mEIrvlKdoy,M,C,10
vuPJg1WPmq,M,C,8
G8mLBXen8k,M,C,9
mzxl9nr8dN,M,C,9
H21iUbRTsR,M,C,8
DPrK0XpVFA,M,Q,6
Vf5LZgngUS,F,C,8
5aTlMR6Sv4,F,Q,8
tkgMBYr2Ho,F,Q,10
LqvoACZTdS,M,C,5
GWLBSlgtLI,F,C,14
uk7JqPUqon,M,C,10
01DvaiM5dS,F,C,13
dZDNww43LY,M,C,9
6t61GwSyIC,M,Q,9
S1zooFdZWn,F,C,14
tSlW22DsBZ,M,C,7
BZAYdCp2qQ,F,C,9
KvLyezaUWZ,M,Q,2
aCh7KI8PjA,M,C,6
OjQXcHsMU3,M,Q,21
PYGcYP9hQ1,F,Q,2
69uUjq1vfF,M,C,7
ggcmU2cpRO,M,C,6
gpZ1HDATNk,F,C,17
edR0Pp0NKF,M,C,7
SSDl7zBheJ,M,C,5
QlKTncNHOG,M,Q,1
5eqYQh9sS9,F,C,17
ZpDJBkFEvs,M,Q,5
fTCjui37xx,F,C,9
Pe7bBqUcBS,F,C,8
lPkHH8145K,M,C,14
o7G5SYymeY,F,Q,1
X5pWZJmaUN,F,C,8
Jd1F6MONJl,F,C,6
jVRg63cR5h,M,Q,10
DgSeTmyEJy,M,C,9
v0lzadXcd1,F,C,8
a7ZY4GsLMU,F,Q,31
barmVcv4VB,F,C,14
iJtBQsh8va,M,C,7
F7y5bQZx2e,F,C,15
hOwbouIkaa,F,C,7
iF2ToeAWRG,M,C,7
OZOrWpUTOO,M,Q,4
ckuCacUC7Y,M,C,10
BUE3GDAK2U,M,C,10
wkfPAPaiGj,M,Q,2
JHrPhq3ZPP,M,C,11
xdAbHst63G,F,C,4
3DvuhSRvrW,M,C,7
gR7zU8jUK8,M,Q,1
d5I0wXztMc,F,C,7
PGrBYWsmK0,F,C,5
XmzaCBG5j4,M,C,10
PgCHXT0ZlP,F,C,7
8fN11oyOqk,M,Q,2
vWrOn7oLbN,F,C,8
Z9FlptWFft,M,C,10
EJOGwVPpwl,F,C,11
qxgg8PhkCm,M,C,11
gsgjeNGcoF,F,C,21
8ixCPelHsg,M,C,17
gmmvrwjpwc,F,C,10
ICNCtckAGK,F,C,7
M92EkGHf2X,F,Q,1
mEPrdbvt2h,F,C,10
bp0IOtoAHd,M,C,11
qfEGs7XhbF,F,C,14
PpWPxAvW58,F,C,6
HUNm2bifid,M,C,14
0LGSCqusfh,M,Q,1
s14MtS4VKh,M,Q,16
SMJo0pNq4E,F,C,15
PTDnmMMZaB,F,C,17
RF8PqcAvui,M,Q,3
rkfuUiNF9Q,F,Q,2
c8Lqa4XbCA,F,C,12
wvPuZE6bxK,F,Q,19
RZ2N9hK0z6,F,C,9
oV41Hd51uq,M,C,9
GClAc4Mv1r,F,Q,4
ftpdNSaNk6,F,C,14
93FgCVSif9,F,C,9
7w7BaLv1VJ,F,Q,15
GwuIomg9gt,M,Q,2
Z6qo5Zjo8t,M,C,6
f9KhzHVpTi,M,Q,5
q7jIfKupqJ,F,Q,2
MWWI0Z1QZ0,M,C,13
6LZFKgcgMb,M,Q,6
tY9uhCa5Ry,M,Q,6
10IsEC0ms9,M,Q,12
BfSJZK2puR,M,Q,3
KcvAOK0Jud,F,C,4
c0R0YKFsOE,M,C,12
Or79Jj7qOC,F,C,11
OlshGMQvSS,M,C,9
gOdmiBco17,M,C,10
Uvend2SETs,M,Q,9
d44X6NK3kx,F,C,7
xWj00NYjgy,M,Q,6
sun3mjUu9B,F,Q,19
aj1Uw7LTXb,F,Q,5
miIdwAaELD,F,C,7
sAoo57djLs,M,Q,5
Kp8MAbYDs8,F,Q,7
WiCQRCxZmh,M,C,13
W4dcTlBYYy,F,Q,2
yJr6Uv7Wz9,F,C,9
97prxWFJki,M,C,4
vslSSiB4Mi,M,C,12
ekzGFZ62cw,F,Q,3
tbLNsvPPvp,F,Q,1
2vqERWfttQ,F,C,5
zjSvH7F2oC,F,C,3
iRZAo24kU4,F,C,6
0wvoWnU23s,F,Q,3
NmgGccGsa1,M,Q,13
laQRmk8cce,F,Q,2
ceBIMRMMmI,M,C,5
7g67ZmiK85,M,C,9
rzNA8MeGNM,F,C,8
JwHxugOCxm,M,C,11
JarGXb4bpb,M,Q,10
XbBEoqRRyR,M,C,8
jvDqU8P5XZ,M,C,11
XPC7xkJbij,M,C,10
7plRYOuHNa,M,C,15
Kv6NkO0Q5U,F,Q,4
59mJEGQ6gi,F,Q,10
sGVqFuryn0,F,C,10
HxCS1X0fYV,M,Q,5
A7xmvlaK7J,F,Q,4
7XVJAdEOgV,F,C,10
YbvX1sLvaj,F,C,7
zdZRYCbZSG,M,C,10
d123Ug9Gi8,F,Q,19
qBFbzl8PgC,F,C,7
uYq1l6VYdc,M,C,6
XI176g9QYx,F,C,11
ja5SBmWbSb,M,Q,15
simwqTbJAK,M,Q,6
f29MMd9FbD,F,C,14
h1NkKUOybQ,M,C,14
x9ftlfe9Ns,M,C,15
DAjN9LpFZ3,M,C,7
QEwZ9epBxl,M,C,7
L1MboG0jdj,M,C,7
uNeFDL9VOV,F,Q,3
l3akm7WW7A,F,Q,1
B3rxr6gfXM,M,C,7
ikwSoyqY9U,F,C,5
eDrqdIfSGU,F,Q,1
D9HWdhk0VU,F,C,8
2b16CSanyr,F,C,8
whnXmoXXHt,F,C,7
odXGcDyXkk,M,Q,3
4tZlkoLqMH,M,C,6
Szrcu2ECVe,F,C,12
vIS7Df1jrc,F,Q,8
xc1cFH5cjU,M,C,12
rUTld1Ayna,M,Q,5
gBwQgd6roe,F,C,4
4HSalD9cAj,M,Q,3
zuJjaJqdyn,F,Q,1
LCeHFXLsma,F,Q,2
HojRZyg1MK,F,C,8
gGXOxCKmbZ,F,C,4
MLU6y4oJwr,F,Q,3
TcAmSig3DW,M,C,7
NAe0QDOs7C,M,Q,9
rXFTDpBnXJ,F,C,15
Ox6Xt7XxkD,M,C,10
66B6MWyAgX,F,C,4
ElP7oOxShf,F,C,8
Q5cfL2XQB1,M,C,7
3NrpTYwgLu,F,C,6
kszOB0Kt8r,F,C,8
XOqidkySAw,M,Q,2
bfcHmqe4Ws,F,C,14
2RC1OPkUKT,F,Q,2
8b2wJXPQh6,F,Q,5
FWpwZf7iKG,F,C,6
2vAuIhvtml,M,C,13
AlE2dnBPoy,F,C,10
BZEwFi9B68,M,C,12
diEQhcmSOw,F,Q,1
ZVokYSMuWH,M,C,4
Vbq2Mr4Y1B,M,C,8
A7nAUMG307,M,Q,1
2qTDEwNEcc,M,C,8
jcKuqGLXko,M,Q,3
9yPVsFiToi,M,Q,18
jWBraIFn9e,M,Q,2
iQe80jnU7P,M,C,14
uKVnan4M0w,F,C,8
O59PdNPBPX,M,C,13
9qLD8qHhmW,M,Q,2
2eXT62TnFe,M,C,6
cd6hZxuvHT,F,C,9
vwpqr3eTjs,M,C,11
IUeZm2MQG5,F,C,9
s0V9Ywbay4,M,Q,2
ERFDVVnsBA,M,Q,1
uqr4oY7fHs,M,C,7
JsqrPCeMRg,M,C,7
QEeU8OWtcy,F,C,8
SMdxCXVhoM,M,C,7
moDldHiVUR,F,C,8
mCnJqjKbe7,F,Q,2
iUijeHxA0z,F,C,8
p3sop6wNFl,F,C,5
j9P5Z7xSHS,F,C,8
Uk0jEqws4Z,M,C,7
OdpiqiUb1u,F,Q,3
f8njQuvxST,F,C,10
MXKTuUL3PM,M,C,11
lS7kvq83Ak,M,C,7
FR4cSqveTW,F,C,10
2cj5gRQhZb,M,C,10
bsEAdopcKZ,F,C,5
dKlwP0OEPC,F,C,10
D7Ww30jHmR,F,Q,8
cEP4VzxQdj,M,Q,1
mq85ugJKFP,F,Q,10
LZ5eRchF4X,M,C,6
fI9sm962p3,M,C,17
WYxvn6uiIY,M,C,10
Zg7epJd54h,M,C,12
sVWQnE7QnU,M,C,7
yulB5YmbaN,M,C,8
4bZ0lB3gbP,F,Q,9
